Population,NAME,state,county,tract,county_name
2799,"Census Tract 69, New York County, New York",36,061,006900,New York
4550,"Census Tract 70.01, New York County, New York",36,061,007001,New York
4865,"Census Tract 70.02, New York County, New York",36,061,007002,New York
5851,"Census Tract 71, New York County, New York",36,061,007100,New York
9358,"Census Tract 72, New York County, New York",36,061,007200,New York
6180,"Census Tract 73, New York County, New York",36,061,007300,New York
5698,"Census Tract 74, New York County, New York",36,061,007400,New York
4000,"Census Tract 75, New York County, New York",36,061,007500,New York
2921,"Census Tract 76, New York County, New York",36,061,007600,New York
6192,"Census Tract 77, New York County, New York",36,061,007700,New York
9109,"Census Tract 78, New York County, New York",36,061,007800,New York
4442,"Census Tract 79, New York County, New York",36,061,007900,New York
5906,"Census Tract 80, New York County, New York",36,061,008000,New York
7853,"Census Tract 81, New York County, New York",36,061,008100,New York
3414,"Census Tract 82, New York County, New York",36,061,008200,New York
3853,"Census Tract 83, New York County, New York",36,061,008300,New York
1985,"Census Tract 84, New York County, New York",36,061,008400,New York
4853,"Census Tract 86.01, New York County, New York",36,061,008601,New York
0,"Census Tract 86.02, New York County, New York",36,061,008602,New York
5347,"Census Tract 86.03, New York County, New York",36,061,008603,New York
6510,"Census Tract 87, New York County, New York",36,061,008700,New York
8852,"Census Tract 88, New York County, New York",36,061,008800,New York
5957,"Census Tract 89, New York County, New York",36,061,008900,New York
8830,"Census Tract 90, New York County, New York",36,061,009000,New York
7362,"Census Tract 91, New York County, New York",36,061,009100,New York
1866,"Census Tract 92, New York County, New York",36,061,009200,New York
9325,"Census Tract 93, New York County, New York",36,061,009300,New York
109,"Census Tract 94, New York County, New York",36,061,009400,New York
3892,"Census Tract 95, New York County, New York",36,061,009500,New York
608,"Census Tract 96, New York County, New York",36,061,009600,New York
5071,"Census Tract 97, New York County, New York",36,061,009700,New York
8078,"Census Tract 98, New York County, New York",36,061,009800,New York
2093,"Census Tract 99.01, New York County, New York",36,061,009901,New York
3848,"Census Tract 99.02, New York County, New York",36,061,009902,New York
2380,"Census Tract 99.03, New York County, New York",36,061,009903,New York
2170,"Census Tract 100, New York County, New York",36,061,010000,New York
2596,"Census Tract 101, New York County, New York",36,061,010100,New York
283,"Census Tract 102, New York County, New York",36,061,010200,New York
4095,"Census Tract 103, New York County, New York",36,061,010300,New York
983,"Census Tract 104, New York County, New York",36,061,010400,New York
8256,"Census Tract 106.01, New York County, New York",36,061,010601,New York
5489,"Census Tract 106.02, New York County, New York",36,061,010602,New York
3297,"Census Tract 108.01, New York County, New York",36,061,010801,New York
3805,"Census Tract 108.02, New York County, New York",36,061,010802,New York
2696,"Census Tract 108.03, New York County, New York",36,061,010803,New York
407,"Census Tract 109, New York County, New York",36,061,010900,New York
7671,"Census Tract 110, New York County, New York",36,061,011000,New York
6138,"Census Tract 111, New York County, New York",36,061,011100,New York
1233,"Census Tract 112.01, New York County, New York",36,061,011201,New York
500,"Census Tract 112.02, New York County, New York",36,061,011202,New York
1420,"Census Tract 112.03, New York County, New York",36,061,011203,New York
216,"Census Tract 113, New York County, New York",36,061,011300,New York
1361,"Census Tract 114.01, New York County, New York",36,061,011401,New York
2620,"Census Tract 114.02, New York County, New York",36,061,011402,New York
3863,"Census Tract 115, New York County, New York",36,061,011500,New York
3263,"Census Tract 116, New York County, New York",36,061,011600,New York
5256,"Census Tract 117, New York County, New York",36,061,011700,New York
9688,"Census Tract 118, New York County, New York",36,061,011800,New York
1666,"Census Tract 119, New York County, New York",36,061,011900,New York
3905,"Census Tract 120, New York County, New York",36,061,012000,New York
3408,"Census Tract 121.01, New York County, New York",36,061,012101,New York
5236,"Census Tract 121.02, New York County, New York",36,061,012102,New York
3425,"Census Tract 122, New York County, New York",36,061,012200,New York
10845,"Census Tract 124, New York County, New York",36,061,012400,New York
2901,"Census Tract 125, New York County, New York",36,061,012500,New York
7437,"Census Tract 126.01, New York County, New York",36,061,012601,New York
6400,"Census Tract 126.02, New York County, New York",36,061,012602,New York
7282,"Census Tract 127, New York County, New York",36,061,012700,New York
6545,"Census Tract 128, New York County, New York",36,061,012800,New York
7959,"Census Tract 129.01, New York County, New York",36,061,012901,New York
3144,"Census Tract 129.02, New York County, New York",36,061,012902,New York
3911,"Census Tract 130, New York County, New York",36,061,013000,New York
3962,"Census Tract 131, New York County, New York",36,061,013100,New York
3146,"Census Tract 132.01, New York County, New York",36,061,013201,New York
4237,"Census Tract 132.02, New York County, New York",36,061,013202,New York
3747,"Census Tract 132.03, New York County, New York",36,061,013203,New York
6782,"Census Tract 133, New York County, New York",36,061,013300,New York
11882,"Census Tract 134, New York County, New York",36,061,013400,New York
5504,"Census Tract 135.01, New York County, New York",36,061,013501,New York
6358,"Census Tract 135.02, New York County, New York",36,061,013502,New York
1962,"Census Tract 136.01, New York County, New York",36,061,013601,New York
5070,"Census Tract 136.02, New York County, New York",36,061,013602,New York
4387,"Census Tract 136.03, New York County, New York",36,061,013603,New York
5057,"Census Tract 136.04, New York County, New York",36,061,013604,New York
7308,"Census Tract 137, New York County, New York",36,061,013700,New York
13109,"Census Tract 138, New York County, New York",36,061,013800,New York
9988,"Census Tract 139, New York County, New York",36,061,013900,New York
8050,"Census Tract 140, New York County, New York",36,061,014000,New York
4463,"Census Tract 142, New York County, New York",36,061,014200,New York
129,"Census Tract 143, New York County, New York",36,061,014300,New York
5040,"Census Tract 144.01, New York County, New York",36,061,014401,New York
7151,"Census Tract 144.02, New York County, New York",36,061,014402,New York
7532,"Census Tract 145, New York County, New York",36,061,014500,New York
4481,"Census Tract 146.01, New York County, New York",36,061,014601,New York
9061,"Census Tract 146.02, New York County, New York",36,061,014602,New York
2987,"Census Tract 147, New York County, New York",36,061,014700,New York
3221,"Census Tract 148.01, New York County, New York",36,061,014801,New York
7494,"Census Tract 148.02, New York County, New York",36,061,014802,New York
6351,"Census Tract 149, New York County, New York",36,061,014900,New York
2321,"Census Tract 150.01, New York County, New York",36,061,015001,New York
5642,"Census Tract 150.02, New York County, New York",36,061,015002,New York
3756,"Census Tract 151.01, New York County, New York",36,061,015101,New York
8254,"Census Tract 151.02, New York County, New York",36,061,015102,New York
7730,"Census Tract 152, New York County, New York",36,061,015200,New York
3684,"Census Tract 153.01, New York County, New York",36,061,015301,New York
6032,"Census Tract 153.02, New York County, New York",36,061,015302,New York
5189,"Census Tract 154.01, New York County, New York",36,061,015401,New York
4503,"Census Tract 154.02, New York County, New York",36,061,015402,New York
5738,"Census Tract 154.03, New York County, New York",36,061,015403,New York
5091,"Census Tract 155.01, New York County, New York",36,061,015501,New York
5759,"Census Tract 155.02, New York County, New York",36,061,015502,New York
5568,"Census Tract 156.01, New York County, New York",36,061,015601,New York
2154,"Census Tract 156.02, New York County, New York",36,061,015602,New York
11197,"Census Tract 157, New York County, New York",36,061,015700,New York
5600,"Census Tract 158.01, New York County, New York",36,061,015801,New York
4516,"Census Tract 158.02, New York County, New York",36,061,015802,New York
10054,"Census Tract 159, New York County, New York",36,061,015900,New York
3852,"Census Tract 160.01, New York County, New York",36,061,016001,New York
3607,"Census Tract 160.02, New York County, New York",36,061,016002,New York
6617,"Census Tract 161, New York County, New York",36,061,016100,New York
9033,"Census Tract 162, New York County, New York",36,061,016200,New York
7292,"Census Tract 163, New York County, New York",36,061,016300,New York
7371,"Census Tract 164, New York County, New York",36,061,016400,New York
6659,"Census Tract 165, New York County, New York",36,061,016500,New York
7012,"Census Tract 166, New York County, New York",36,061,016600,New York
7210,"Census Tract 167, New York County, New York",36,061,016700,New York
4964,"Census Tract 168, New York County, New York",36,061,016800,New York
8526,"Census Tract 169, New York County, New York",36,061,016900,New York
7991,"Census Tract 170, New York County, New York",36,061,017000,New York
9694,"Census Tract 171, New York County, New York",36,061,017100,New York
5441,"Census Tract 172, New York County, New York",36,061,017200,New York
8699,"Census Tract 173, New York County, New York",36,061,017300,New York
5449,"Census Tract 174.01, New York County, New York",36,061,017401,New York
2276,"Census Tract 174.02, New York County, New York",36,061,017402,New York
11110,"Census Tract 175, New York County, New York",36,061,017500,New York
9382,"Census Tract 177, New York County, New York",36,061,017700,New York
3860,"Census Tract 178, New York County, New York",36,061,017800,New York
9103,"Census Tract 179, New York County, New York",36,061,017900,New York
7429,"Census Tract 180, New York County, New York",36,061,018000,New York
8941,"Census Tract 181, New York County, New York",36,061,018100,New York
7675,"Census Tract 182, New York County, New York",36,061,018200,New York
8534,"Census Tract 183, New York County, New York",36,061,018300,New York
7820,"Census Tract 184, New York County, New York",36,061,018400,New York
5243,"Census Tract 185, New York County, New York",36,061,018500,New York
5127,"Census Tract 186, New York County, New York",36,061,018600,New York
9383,"Census Tract 187, New York County, New York",36,061,018700,New York
5697,"Census Tract 188, New York County, New York",36,061,018800,New York
11556,"Census Tract 189, New York County, New York",36,061,018900,New York
3679,"Census Tract 190, New York County, New York",36,061,019000,New York
9005,"Census Tract 191, New York County, New York",36,061,019100,New York
3971,"Census Tract 192, New York County, New York",36,061,019200,New York
8736,"Census Tract 193, New York County, New York",36,061,019300,New York
6978,"Census Tract 194, New York County, New York",36,061,019400,New York
7828,"Census Tract 195, New York County, New York",36,061,019500,New York
4031,"Census Tract 196, New York County, New York",36,061,019600,New York
1278,"Census Tract 197.01, New York County, New York",36,061,019701,New York
2601,"Census Tract 197.02, New York County, New York",36,061,019702,New York
2370,"Census Tract 198, New York County, New York",36,061,019800,New York
9598,"Census Tract 199, New York County, New York",36,061,019900,New York
2855,"Census Tract 200, New York County, New York",36,061,020000,New York
1863,"Census Tract 201.01, New York County, New York",36,061,020101,New York
4077,"Census Tract 201.02, New York County, New York",36,061,020102,New York
3874,"Census Tract 203, New York County, New York",36,061,020300,New York
5023,"Census Tract 205, New York County, New York",36,061,020500,New York
3628,"Census Tract 206, New York County, New York",36,061,020600,New York
3035,"Census Tract 207.01, New York County, New York",36,061,020701,New York
5255,"Census Tract 208, New York County, New York",36,061,020800,New York
3665,"Census Tract 209.01, New York County, New York",36,061,020901,New York
6748,"Census Tract 210, New York County, New York",36,061,021000,New York
10529,"Census Tract 211, New York County, New York",36,061,021100,New York
4899,"Census Tract 212, New York County, New York",36,061,021200,New York
5583,"Census Tract 213.03, New York County, New York",36,061,021303,New York
3075,"Census Tract 214, New York County, New York",36,061,021400,New York
3856,"Census Tract 215, New York County, New York",36,061,021500,New York
8567,"Census Tract 216, New York County, New York",36,061,021600,New York
545,"Census Tract 217.03, New York County, New York",36,061,021703,New York
6530,"Census Tract 218, New York County, New York",36,061,021800,New York
5696,"Census Tract 219, New York County, New York",36,061,021900,New York
6114,"Census Tract 220, New York County, New York",36,061,022000,New York
2382,"Census Tract 221.02, New York County, New York",36,061,022102,New York
3293,"Census Tract 222, New York County, New York",36,061,022200,New York
7258,"Census Tract 223.01, New York County, New York",36,061,022301,New York
3101,"Census Tract 223.02, New York County, New York",36,061,022302,New York
7346,"Census Tract 224, New York County, New York",36,061,022400,New York
9895,"Census Tract 225, New York County, New York",36,061,022500,New York
4890,"Census Tract 226, New York County, New York",36,061,022600,New York
5387,"Census Tract 227, New York County, New York",36,061,022700,New York
5961,"Census Tract 228, New York County, New York",36,061,022800,New York
7975,"Census Tract 229, New York County, New York",36,061,022900,New York
9111,"Census Tract 230, New York County, New York",36,061,023000,New York
6273,"Census Tract 231, New York County, New York",36,061,023100,New York
8061,"Census Tract 232, New York County, New York",36,061,023200,New York
6368,"Census Tract 233, New York County, New York",36,061,023300,New York
5112,"Census Tract 234, New York County, New York",36,061,023400,New York
6720,"Census Tract 235.01, New York County, New York",36,061,023501,New York
2206,"Census Tract 235.02, New York County, New York",36,061,023502,New York
9907,"Census Tract 236, New York County, New York",36,061,023600,New York
6792,"Census Tract 237, New York County, New York",36,061,023700,New York
4791,"Census Tract 238.02, New York County, New York",36,061,023802,New York
3625,"Census Tract 238.03, New York County, New York",36,061,023803,New York
3306,"Census Tract 238.04, New York County, New York",36,061,023804,New York
2675,"Census Tract 239, New York County, New York",36,061,023900,New York
1302,"Census Tract 240, New York County, New York",36,061,024000,New York
7612,"Census Tract 241, New York County, New York",36,061,024100,New York
4448,"Census Tract 242, New York County, New York",36,061,024200,New York
3993,"Census Tract 243.01, New York County, New York",36,061,024301,New York
7237,"Census Tract 243.02, New York County, New York",36,061,024302,New York
13385,"Census Tract 245, New York County, New York",36,061,024500,New York
6521,"Census Tract 247, New York County, New York",36,061,024700,New York
1084,"Census Tract 249, New York County, New York",36,061,024900,New York
2287,"Census Tract 251, New York County, New York",36,061,025100,New York
10081,"Census Tract 253, New York County, New York",36,061,025300,New York
5697,"Census Tract 255, New York County, New York",36,061,025500,New York
4270,"Census Tract 257, New York County, New York",36,061,025700,New York
4029,"Census Tract 259, New York County, New York",36,061,025900,New York
10733,"Census Tract 261, New York County, New York",36,061,026100,New York
7969,"Census Tract 263, New York County, New York",36,061,026300,New York
6850,"Census Tract 265, New York County, New York",36,061,026500,New York
2083,"Census Tract 267, New York County, New York",36,061,026700,New York
7848,"Census Tract 269, New York County, New York",36,061,026900,New York
7623,"Census Tract 271, New York County, New York",36,061,027100,New York
6519,"Census Tract 273, New York County, New York",36,061,027300,New York
3063,"Census Tract 275, New York County, New York",36,061,027500,New York
6423,"Census Tract 277, New York County, New York",36,061,027700,New York
10019,"Census Tract 279, New York County, New York",36,061,027900,New York
3108,"Census Tract 281, New York County, New York",36,061,028100,New York
7740,"Census Tract 283, New York County, New York",36,061,028300,New York
6794,"Census Tract 285, New York County, New York",36,061,028500,New York
3772,"Census Tract 287, New York County, New York",36,061,028700,New York
10509,"Census Tract 291, New York County, New York",36,061,029100,New York
8035,"Census Tract 293, New York County, New York",36,061,029300,New York
7039,"Census Tract 295, New York County, New York",36,061,029500,New York
16,"Census Tract 297, New York County, New York",36,061,029700,New York
3598,"Census Tract 299, New York County, New York",36,061,029900,New York
3691,"Census Tract 303, New York County, New York",36,061,030300,New York
3427,"Census Tract 307, New York County, New York",36,061,030700,New York
8594,"Census Tract 309, New York County, New York",36,061,030900,New York
12,"Census Tract 311, New York County, New York",36,061,031100,New York
5847,"Census Tract 317.03, New York County, New York",36,061,031703,New York
10422,"Census Tract 317.04, New York County, New York",36,061,031704,New York
3,"Census Tract 319, New York County, New York",36,061,031900,New York
4616,"Census Tract 1, Kings County, New York",36,047,000100,Kings
1205,"Census Tract 2, Kings County, New York",36,047,000200,Kings
3850,"Census Tract 3.01, Kings County, New York",36,047,000301,Kings
4404,"Census Tract 5.01, Kings County, New York",36,047,000501,Kings
2640,"Census Tract 5.02, Kings County, New York",36,047,000502,Kings
4415,"Census Tract 7, Kings County, New York",36,047,000700,Kings
5167,"Census Tract 9, Kings County, New York",36,047,000900,Kings
1578,"Census Tract 11, Kings County, New York",36,047,001100,Kings
2465,"Census Tract 13, Kings County, New York",36,047,001300,Kings
5161,"Census Tract 15.01, Kings County, New York",36,047,001501,Kings
5801,"Census Tract 15.02, Kings County, New York",36,047,001502,Kings
2563,"Census Tract 18.01, Kings County, New York",36,047,001801,Kings
6,"Census Tract 18.02, Kings County, New York",36,047,001802,Kings
16,"Census Tract 18.03, Kings County, New York",36,047,001803,Kings
0,"Census Tract 18.04, Kings County, New York",36,047,001804,Kings
1694,"Census Tract 20, Kings County, New York",36,047,002000,Kings
5975,"Census Tract 21, Kings County, New York",36,047,002100,Kings
4589,"Census Tract 22, Kings County, New York",36,047,002200,Kings
3940,"Census Tract 23, Kings County, New York",36,047,002300,Kings
3149,"Census Tract 29.01, Kings County, New York",36,047,002901,Kings
1811,"Census Tract 30, Kings County, New York",36,047,003000,Kings
3395,"Census Tract 31.01, Kings County, New York",36,047,003101,Kings
0,"Census Tract 31.02, Kings County, New York",36,047,003102,Kings
4807,"Census Tract 33, Kings County, New York",36,047,003300,Kings
3489,"Census Tract 34, Kings County, New York",36,047,003400,Kings
2402,"Census Tract 35, Kings County, New York",36,047,003500,Kings
3959,"Census Tract 36, Kings County, New York",36,047,003600,Kings
4565,"Census Tract 37, Kings County, New York",36,047,003700,Kings
1529,"Census Tract 38, Kings County, New York",36,047,003800,Kings
2644,"Census Tract 39, Kings County, New York",36,047,003900,Kings
3398,"Census Tract 41, Kings County, New York",36,047,004100,Kings
3810,"Census Tract 43, Kings County, New York",36,047,004300,Kings
2448,"Census Tract 44, Kings County, New York",36,047,004400,Kings
3476,"Census Tract 45, Kings County, New York",36,047,004500,Kings
1154,"Census Tract 46, Kings County, New York",36,047,004600,Kings
1951,"Census Tract 47, Kings County, New York",36,047,004700,Kings
2412,"Census Tract 49, Kings County, New York",36,047,004900,Kings
2535,"Census Tract 50, Kings County, New York",36,047,005000,Kings
2658,"Census Tract 51, Kings County, New York",36,047,005100,Kings
1879,"Census Tract 52.01, Kings County, New York",36,047,005201,Kings
2668,"Census Tract 52.02, Kings County, New York",36,047,005202,Kings
2164,"Census Tract 53.01, Kings County, New York",36,047,005301,Kings
86,"Census Tract 53.02, Kings County, New York",36,047,005302,Kings
0,"Census Tract 53.03, Kings County, New York",36,047,005303,Kings
3426,"Census Tract 54, Kings County, New York",36,047,005400,Kings
2692,"Census Tract 56.01, Kings County, New York",36,047,005601,Kings
1734,"Census Tract 56.02, Kings County, New York",36,047,005602,Kings
3450,"Census Tract 58, Kings County, New York",36,047,005800,Kings
1742,"Census Tract 59, Kings County, New York",36,047,005900,Kings
2876,"Census Tract 60, Kings County, New York",36,047,006000,Kings
2958,"Census Tract 62, Kings County, New York",36,047,006200,Kings
2007,"Census Tract 63, Kings County, New York",36,047,006300,Kings
3623,"Census Tract 64, Kings County, New York",36,047,006400,Kings
5461,"Census Tract 65, Kings County, New York",36,047,006500,Kings
3974,"Census Tract 66, Kings County, New York",36,047,006600,Kings
3618,"Census Tract 67, Kings County, New York",36,047,006700,Kings
5491,"Census Tract 68, Kings County, New York",36,047,006800,Kings
1631,"Census Tract 69.01, Kings County, New York",36,047,006901,Kings
1962,"Census Tract 69.02, Kings County, New York",36,047,006902,Kings
2454,"Census Tract 70, Kings County, New York",36,047,007000,Kings
4362,"Census Tract 71, Kings County, New York",36,047,007100,Kings
2082,"Census Tract 72, Kings County, New York",36,047,007200,Kings
5829,"Census Tract 74, Kings County, New York",36,047,007400,Kings
4691,"Census Tract 75, Kings County, New York",36,047,007500,Kings
4872,"Census Tract 76, Kings County, New York",36,047,007600,Kings
5690,"Census Tract 77, Kings County, New York",36,047,007700,Kings
5333,"Census Tract 78, Kings County, New York",36,047,007800,Kings
4024,"Census Tract 80, Kings County, New York",36,047,008000,Kings
4008,"Census Tract 82, Kings County, New York",36,047,008200,Kings
3311,"Census Tract 84, Kings County, New York",36,047,008400,Kings
6673,"Census Tract 85, Kings County, New York",36,047,008500,Kings
0,"Census Tract 86, Kings County, New York",36,047,008600,Kings
3258,"Census Tract 88, Kings County, New York",36,047,008800,Kings
1886,"Census Tract 90.01, Kings County, New York",36,047,009001,Kings
1391,"Census Tract 90.02, Kings County, New York",36,047,009002,Kings
2087,"Census Tract 92.01, Kings County, New York",36,047,009201,Kings
3424,"Census Tract 92.02, Kings County, New York",36,047,009202,Kings
3127,"Census Tract 94.01, Kings County, New York",36,047,009401,Kings
3168,"Census Tract 94.02, Kings County, New York",36,047,009402,Kings
6462,"Census Tract 96, Kings County, New York",36,047,009600,Kings
7440,"Census Tract 98, Kings County, New York",36,047,009800,Kings
7741,"Census Tract 100, Kings County, New York",36,047,010000,Kings
4590,"Census Tract 101, Kings County, New York",36,047,010100,Kings
6578,"Census Tract 102, Kings County, New York",36,047,010200,Kings
3015,"Census Tract 104.01, Kings County, New York",36,047,010401,Kings
2965,"Census Tract 104.02, Kings County, New York",36,047,010402,Kings
3037,"Census Tract 106.01, Kings County, New York",36,047,010601,Kings
2820,"Census Tract 106.02, Kings County, New York",36,047,010602,Kings
2876,"Census Tract 108.01, Kings County, New York",36,047,010801,Kings
2840,"Census Tract 108.02, Kings County, New York",36,047,010802,Kings
2709,"Census Tract 110, Kings County, New York",36,047,011000,Kings
6636,"Census Tract 112, Kings County, New York",36,047,011200,Kings
4150,"Census Tract 114, Kings County, New York",36,047,011400,Kings
5529,"Census Tract 116, Kings County, New York",36,047,011600,Kings
2672,"Census Tract 117, Kings County, New York",36,047,011700,Kings
2578,"Census Tract 118, Kings County, New York",36,047,011800,Kings
1589,"Census Tract 119.01, Kings County, New York",36,047,011901,Kings
0,"Census Tract 119.02, Kings County, New York",36,047,011902,Kings
1176,"Census Tract 120, Kings County, New York",36,047,012000,Kings
1916,"Census Tract 121, Kings County, New York",36,047,012100,Kings
5521,"Census Tract 122, Kings County, New York",36,047,012200,Kings
3085,"Census Tract 126, Kings County, New York",36,047,012600,Kings
4036,"Census Tract 127, Kings County, New York",36,047,012700,Kings
2567,"Census Tract 128.01, Kings County, New York",36,047,012801,Kings
2333,"Census Tract 129.01, Kings County, New York",36,047,012901,Kings
3318,"Census Tract 129.02, Kings County, New York",36,047,012902,Kings
5347,"Census Tract 130, Kings County, New York",36,047,013000,Kings
3979,"Census Tract 131, Kings County, New York",36,047,013100,Kings
2870,"Census Tract 132, Kings County, New York",36,047,013200,Kings
4411,"Census Tract 133, Kings County, New York",36,047,013300,Kings
4212,"Census Tract 134, Kings County, New York",36,047,013400,Kings
3799,"Census Tract 135, Kings County, New York",36,047,013500,Kings
4079,"Census Tract 136, Kings County, New York",36,047,013600,Kings
3406,"Census Tract 137, Kings County, New York",36,047,013700,Kings
3247,"Census Tract 138, Kings County, New York",36,047,013800,Kings
3727,"Census Tract 139, Kings County, New York",36,047,013900,Kings
2136,"Census Tract 140, Kings County, New York",36,047,014000,Kings
1621,"Census Tract 141.01, Kings County, New York",36,047,014101,Kings
1858,"Census Tract 141.02, Kings County, New York",36,047,014102,Kings
3434,"Census Tract 142, Kings County, New York",36,047,014200,Kings
3705,"Census Tract 143, Kings County, New York",36,047,014300,Kings
4404,"Census Tract 145, Kings County, New York",36,047,014500,Kings
2242,"Census Tract 147, Kings County, New York",36,047,014700,Kings
1244,"Census Tract 148, Kings County, New York",36,047,014800,Kings
1529,"Census Tract 149.01, Kings County, New York",36,047,014901,Kings
3601,"Census Tract 149.02, Kings County, New York",36,047,014902,Kings
1791,"Census Tract 150, Kings County, New York",36,047,015000,Kings
3696,"Census Tract 151, Kings County, New York",36,047,015100,Kings
2545,"Census Tract 152, Kings County, New York",36,047,015200,Kings
2633,"Census Tract 153, Kings County, New York",36,047,015300,Kings
9,"Census Tract 154, Kings County, New York",36,047,015400,Kings
3466,"Census Tract 155, Kings County, New York",36,047,015500,Kings
4447,"Census Tract 157, Kings County, New York",36,047,015700,Kings
5206,"Census Tract 159, Kings County, New York",36,047,015900,Kings
4462,"Census Tract 160, Kings County, New York",36,047,016000,Kings
3450,"Census Tract 161, Kings County, New York",36,047,016100,Kings
2218,"Census Tract 162, Kings County, New York",36,047,016200,Kings
4088,"Census Tract 163, Kings County, New York",36,047,016300,Kings
775,"Census Tract 164, Kings County, New York",36,047,016400,Kings
5080,"Census Tract 165, Kings County, New York",36,047,016500,Kings
1968,"Census Tract 166, Kings County, New York",36,047,016600,Kings
4754,"Census Tract 167, Kings County, New York",36,047,016700,Kings
1695,"Census Tract 168, Kings County, New York",36,047,016800,Kings
4459,"Census Tract 169, Kings County, New York",36,047,016900,Kings
3604,"Census Tract 170, Kings County, New York",36,047,017000,Kings
3717,"Census Tract 171, Kings County, New York",36,047,017100,Kings
3300,"Census Tract 172, Kings County, New York",36,047,017200,Kings
1950,"Census Tract 174, Kings County, New York",36,047,017400,Kings
5,"Census Tract 175, Kings County, New York",36,047,017500,Kings
2418,"Census Tract 176, Kings County, New York",36,047,017600,Kings
15,"Census Tract 177, Kings County, New York",36,047,017700,Kings
2959,"Census Tract 178, Kings County, New York",36,047,017800,Kings
